marketer31,consignee11,description21,order_no211,scheduled_delivery_on21,TextBox12,TextBox18,version_no211,TextBox271,TextBox274
"","","","","","","","2","300","40.380000"
"","","","1214639","07/03/2026 00:00:00","300","40.380000","1","300","40.380000"
"","","","1214637","07/04/2026 00:00:00","360","40.380000","1","360","40.380000"
"","","","1214638","07/05/2026 00:00:00","300","40.380000","1","300","40.380000"
"","","","1214556","07/06/2026 00:00:00","300","40.380000","1","300","40.380000"
"","","15kg Semi Ripe","1214635","06/30/2026 00:00:00","60","40.380000","1","60","40.380000"
"","","","","","","","2","60","40.380000"
"","","","1214554","07/01/2026 00:00:00","60","40.380000","1","60","40.380000"
"","","","1214636","07/02/2026 00:00:00","60","40.380000","1","60","40.380000"
"","","","","","","","2","60","40.380000"
"","","","1214639","07/03/2026 00:00:00","60","40.380000","1","60","40.380000"
"","","","1214637","07/04/2026 00:00:00","60","40.380000","1","60","40.380000"
"","","","1214638","07/05/2026 00:00:00","60","40.380000","1","60","40.380000"
"","","","1214556","07/06/2026 00:00:00","60","40.380000","1","60","40.380000"
"","","Avocado Hass Premium 20 Tray","1214635","06/30/2026 00:00:00","160","34.000000","1","320","34.000000"
"","","","","","","","2","320","34.000000"
"","","","","","","","3","320","34.000000"
"","","","","","","","4","160","34.000000"
"","","","","","","","5","160","34.000000"
"","","","1214554","07/01/2026 00:00:00","160","34.000000","1","320","34.000000"
"","","","","","","","4","160","34.000000"
"","","","1214636","07/02/2026 00:00:00","160","34.000000","1","320","34.000000"
"","","","","","","","2","160","34.000000"
"","","","1214639","07/03/2026 00:00:00","320","34.000000","1","320","34.000000"
"","","","1214637","07/04/2026 00:00:00","320","34.000000","1","320","34.000000"
"","","","1214638","07/05/2026 00:00:00","160","34.000000","1","160","34.000000"
"","","","1214556","07/06/2026 00:00:00","320","34.000000","1","320","34.000000"
"","","Avocado Hass Premium 23 Tray","1214635","06/30/2026 00:00:00","160","34.000000","4","160","34.000000"
"","","","","","","","5","160","34.000000"
"","","","1214554","07/01/2026 00:00:00","182","34.000000","2","182","34.000000"
"","","","","","","","3","342","34.000000"
"","","","","","","","4","182","34.000000"
"","","Avocado Hass Premium 25 Tray","1214554","07/01/2026 00:00:00","138","34.000000","2","138","34.000000"
"","","","","","","","3","138","34.000000"
"","","","","","","","4","138","34.000000"
"","","Kids Packs - Coles","1214635","06/30/2026 00:00:00","66","35.000000","1","132","35.000000"
"","","","","","","","2","132","35.000000"
"","","","","","","","3","36","35.000000"
"","","","","","","","4","36","35.000000"
"","","","","","","","5","66","35.000000"
"","","","1214554","07/01/2026 00:00:00","132","35.000000","1","66","35.000000"
"","","","","","","","2","132","35.000000"
"","","","","","","","3","132","35.000000"
"","","","","","","","4","132","35.000000"
